SYMBOL ,Tickers
TUNWAL,TUNWAL.NS
VIJAYA,VIJAYA.NS
ABSLAMC,ABSLAMC.NS
APLLTD,APLLTD.NS
YATRA,YATRA.NS
GANDHAR,GANDHAR.NS
CORALFINAC,CORALFINAC.NS
SUBROS,SUBROS.NS
SYNCOMF,SYNCOMF.NS
SMSPHARMA,SMSPHARMA.NS
KOTHARIPET,KOTHARIPET.NS
M&M,M&M.NS
APTUS,APTUS.NS
MARALOVER,MARALOVER.NS
NAGREEKEXP,NAGREEKEXP.NS
RUBFILA,RUBFILA.NS
AURIONPRO,AURIONPRO.NS
RAMANEWS,RAMANEWS.NS
PRINCEPIPE,PRINCEPIPE.NS
CAPITALSFB,CAPITALSFB.NS
AEGISLOG,AEGISLOG.NS
HTMEDIA,HTMEDIA.NS
CEIGALL,CEIGALL.NS
INDOSTAR,INDOSTAR.NS
STERTOOLS,STERTOOLS.NS
RUSHIL,RUSHIL.NS
PVSL,PVSL.NS
AGIIL,AGIIL.NS
ARVSMART,ARVSMART.NS
FOODSIN,FOODSIN.NS
HIL,HIL.NS
KINGFA,KINGFA.NS
FOSECOIND,FOSECOIND.NS
FMGOETZE,FMGOETZE.NS
THEJO,THEJO.NS
GFLLIMITED,GFLLIMITED.NS
BUTTERFLY,BUTTERFLY.NS
SANGAMIND,SANGAMIND.NS
DHANBANK,DHANBANK.NS
IGPL,IGPL.NS
IDEALTECHO,IDEALTECHO.NS
BSHSL,BSHSL.NS
LANDMARK,LANDMARK.NS
CONSOFINVT,CONSOFINVT.NS
SATIA,SATIA.NS
TCNSBRANDS,TCNSBRANDS.NS
RRKABEL,RRKABEL.NS
PALASHSECU,PALASHSECU.NS
RISHABH,RISHABH.NS
COMPUSOFT,COMPUSOFT.NS
ALPA,ALPA.NS
SPCENET,SPCENET.NS
BCONCEPTS,BCONCEPTS.NS
UNIECOM,UNIECOM.NS
GENUSPOWER,GENUSPOWER.NS
ESSARSHPNG,ESSARSHPNG.NS
HEROMOTOCO,HEROMOTOCO.NS
ENIL,ENIL.NS
NILAINFRA,NILAINFRA.NS
ANNAPURNA,ANNAPURNA.NS
DUCON,DUCON.NS
CYBERTECH,CYBERTECH.NS
FEDERALBNK,FEDERALBNK.NS
BIRLACORPN,BIRLACORPN.NS
DBCORP,DBCORP.NS
FIEMIND,FIEMIND.NS
VSTTILLERS,VSTTILLERS.NS
BESTAGRO,BESTAGRO.NS
KRITIKA,KRITIKA.NS
GGBL,GGBL.NS
HINDPETRO,HINDPETRO.NS
KANANIIND,KANANIIND.NS
RELIGARE,RELIGARE.NS
MIEL,MIEL.NS
CRAFTSMAN,CRAFTSMAN.NS
BIGBLOC,BIGBLOC.NS
ISEC,ISEC.NS
BAJAJHLDNG,BAJAJHLDNG.NS
MUNJALAU,MUNJALAU.NS
3PLAND,3PLAND.NS
CENTENKA,CENTENKA.NS
INTERARCH,INTERARCH.NS
MANGLMCEM,MANGLMCEM.NS
AFFLE,AFFLE.NS
JKTYRE,JKTYRE.NS
GOYALSALT,GOYALSALT.NS
RATEGAIN,RATEGAIN.NS
ECLERX,ECLERX.NS
ANUP,ANUP.NS
KAMOPAINTS,KAMOPAINTS.NS
JINDRILL,JINDRILL.NS
RAJMET,RAJMET.NS
ORIENTCER,ORIENTCER.NS
HINDMOTORS,HINDMOTORS.NS
MAXIND,MAXIND.NS
ONEPOINT,ONEPOINT.NS
GILLANDERS,GILLANDERS.NS
DPSCLTD,DPSCLTD.NS
SULA,SULA.NS
SIGNPOST,SIGNPOST.NS
BEML,BEML.NS
TRITURBINE,TRITURBINE.NS
KCPSUGIND,KCPSUGIND.NS
DOLLEX,DOLLEX.NS
RGL,RGL.NS
DCMSRIND,DCMSRIND.NS
SUNDARAM,SUNDARAM.NS
NAHARSPING,NAHARSPING.NS
MVGJL,MVGJL.NS
INDIASHLTR,INDIASHLTR.NS
INDIGO,INDIGO.NS
MANKIND,MANKIND.NS
ARIES,ARIES.NS
SAPPHIRE,SAPPHIRE.NS
MOTILALOFS,MOTILALOFS.NS
SPENCERS,SPENCERS.NS
FLAIR,FLAIR.NS
STARHEALTH,STARHEALTH.NS
AKASH,AKASH.NS
ADL,ADL.NS
PILANIINVS,PILANIINVS.NS
NDL,NDL.NS
TEMBO,TEMBO.NS
SUNDARMHLD,SUNDARMHLD.NS
GALLANTT,GALLANTT.NS
TGBHOTELS,TGBHOTELS.NS
KRYSTAL,KRYSTAL.NS
LINDEINDIA,LINDEINDIA.NS
ASALCBR,ASALCBR.NS
SYRMA,SYRMA.NS
IOC,IOC.NS
BRIGADE,BRIGADE.NS
SIGMA,SIGMA.NS
FIBERWEB,FIBERWEB.NS
VRAJ,VRAJ.NS
BHARTIHEXA,BHARTIHEXA.NS
MRPL,MRPL.NS
VESUVIUS,VESUVIUS.NS
EXCEL,EXCEL.NS
LINC,LINC.NS
SUNTECK,SUNTECK.NS
NIRAJ,NIRAJ.NS
SHREEPUSHK,SHREEPUSHK.NS
CUB,CUB.NS
NDLVENTURE,NDLVENTURE.NS
GULFPETRO,GULFPETRO.NS
UTIAMC,UTIAMC.NS
ADORWELD,ADORWELD.NS
AARTISURF,AARTISURF.NS
GLOBAL,GLOBAL.NS
PNC,PNC.NS
INVENTURE,INVENTURE.NS
MMP,MMP.NS
GINNIFILA,GINNIFILA.NS
KUANTUM,KUANTUM.NS
MAHSEAMLES,MAHSEAMLES.NS
DPABHUSHAN,DPABHUSHAN.NS
BANARBEADS,BANARBEADS.NS
SHIVAMAUTO,SHIVAMAUTO.NS
ZFCVINDIA,ZFCVINDIA.NS
CREST,CREST.NS
UNOMINDA,UNOMINDA.NS
APOLLO,APOLLO.NS
TCPLPACK,TCPLPACK.NS
SUVIDHAA,SUVIDHAA.NS
KBCGLOBAL,KBCGLOBAL.NS
KANSAINER,KANSAINER.NS
FEL,FEL.NS
ROML,ROML.NS
INDNIPPON,INDNIPPON.NS
GOYALALUM,GOYALALUM.NS
RITCO,RITCO.NS
EPL,EPL.NS
GLAND,GLAND.NS
IEX,IEX.NS
RETAIL,RETAIL.NS
HMVL,HMVL.NS
TVTODAY,TVTODAY.NS
SILGO,SILGO.NS
PPL,PPL.NS
URAVI,URAVI.NS
DIL,DIL.NS
AZAD,AZAD.NS
HIMATSEIDE,HIMATSEIDE.NS
MONARCH,MONARCH.NS
EXICOM,EXICOM.NS
MBAPL,MBAPL.NS
DVL,DVL.NS
SOMICONVEY,SOMICONVEY.NS
SOUTHWEST,SOUTHWEST.NS
JAIPURKURT,JAIPURKURT.NS
DELTACORP,DELTACORP.NS
ALEMBICLTD,ALEMBICLTD.NS
FORTIS,FORTIS.NS
HIKAL,HIKAL.NS
MOKSH,MOKSH.NS
VAIBHAVGBL,VAIBHAVGBL.NS
LIBAS,LIBAS.NS
SALZERELEC,SALZERELEC.NS
BODALCHEM,BODALCHEM.NS
SHYAMMETL,SHYAMMETL.NS
KIRLPNU,KIRLPNU.NS
SPECIALITY,SPECIALITY.NS
WINDMACHIN,WINDMACHIN.NS
SHIVALIK,SHIVALIK.NS
PLAZACABLE,PLAZACABLE.NS
GANECOS,GANECOS.NS
MFSL,MFSL.NS
MAZDA,MAZDA.NS
VALIANTORG,VALIANTORG.NS
CHAVDA,CHAVDA.NS
AARVI,AARVI.NS
HAVELLS,HAVELLS.NS
NCC,NCC.NS
MMFL,MMFL.NS
KITEX,KITEX.NS
GODREJPROP,GODREJPROP.NS
HERCULES,HERCULES.NS
UDAICEMENT,UDAICEMENT.NS
SIGNATURE,SIGNATURE.NS
DONEAR,DONEAR.NS
PRECWIRE,PRECWIRE.NS
GTL,GTL.NS
VIKASECO,VIKASECO.NS
DPWIRES,DPWIRES.NS
NEOGEN,NEOGEN.NS
DALMIASUG,DALMIASUG.NS
INDOBORAX,INDOBORAX.NS
M&MFIN,M&MFIN.NS
POWERMECH,POWERMECH.NS
MARSHALL,MARSHALL.NS
AIIL,AIIL.NS
ADFFOODS,ADFFOODS.NS
CAPLIPOINT,CAPLIPOINT.NS
LIBERTSHOE,LIBERTSHOE.NS
VOLTAMP,VOLTAMP.NS
PRLIND,PRLIND.NS
MUFTI,MUFTI.NS
INDGN,INDGN.NS
NSIL,NSIL.NS
GOLDTECH,GOLDTECH.NS
BECTORFOOD,BECTORFOOD.NS
BAJFINANCE,BAJFINANCE.NS
CARYSIL,CARYSIL.NS
MEDANTA,MEDANTA.NS
MANINDS,MANINDS.NS
IVC,IVC.NS
SIKKO,SIKKO.NS
HATSUN,HATSUN.NS
ARMANFIN,ARMANFIN.NS
DMART,DMART.NS
JPPOWER,JPPOWER.NS
BHARTIARTL,BHARTIARTL.NS
BINANIIND,BINANIIND.NS
WHEELS,WHEELS.NS
AKZOINDIA,AKZOINDIA.NS
EIDPARRY,EIDPARRY.NS
RENUKA,RENUKA.NS
HESTERBIO,HESTERBIO.NS
RHIM,RHIM.NS
INFIBEAM,INFIBEAM.NS
MALUPAPER,MALUPAPER.NS
CMSINFO,CMSINFO.NS
WEL,WEL.NS
CHENNPETRO,CHENNPETRO.NS
SAHYADRI,SAHYADRI.NS
DAMODARIND,DAMODARIND.NS
SANSERA,SANSERA.NS
SPAL,SPAL.NS
BANDHANBNK,BANDHANBNK.NS
NITINSPIN,NITINSPIN.NS
DELHIVERY,DELHIVERY.NS
ESSENTIA,ESSENTIA.NS
MITTAL,MITTAL.NS
SFL,SFL.NS
GOODLUCK,GOODLUCK.NS
ORISSAMINE,ORISSAMINE.NS
SPLIL,SPLIL.NS
ADANIENSOL,ADANIENSOL.NS
MANAPPURAM,MANAPPURAM.NS
HUHTAMAKI,HUHTAMAKI.NS
DLINKINDIA,DLINKINDIA.NS
SSWL,SSWL.NS
NACLIND,NACLIND.NS
VARDHACRLC,VARDHACRLC.NS
SRHHYPOLTD,SRHHYPOLTD.NS
NIITMTS,NIITMTS.NS
XPROINDIA,XPROINDIA.NS
GOCLCORP,GOCLCORP.NS
SUVEN,SUVEN.NS
WINDLAS,WINDLAS.NS
PTC,PTC.NS
STYRENIX,STYRENIX.NS
BALAMINES,BALAMINES.NS
BPCL,BPCL.NS
TEGA,TEGA.NS
UJJIVANSFB,UJJIVANSFB.NS
PCJEWELLER,PCJEWELLER.NS
SURAJEST,SURAJEST.NS
VLSFINANCE,VLSFINANCE.NS
KPIL,KPIL.NS
KPIGREEN,KPIGREEN.NS
MAITHANALL,MAITHANALL.NS
REFEX,REFEX.NS
ALANKIT,ALANKIT.NS
FCL,FCL.NS
RAINBOW,RAINBOW.NS
ANGELONE,ANGELONE.NS
SIS,SIS.NS
KEC,KEC.NS
SUNCLAY,SUNCLAY.NS
CAMS,CAMS.NS
VEDL,VEDL.NS
AKSHOPTFBR,AKSHOPTFBR.NS
TATAINVEST,TATAINVEST.NS
RATNAVEER,RATNAVEER.NS
UTKARSHBNK,UTKARSHBNK.NS
LTFOODS,LTFOODS.NS
SURANASOL,SURANASOL.NS
WOCKPHARMA,WOCKPHARMA.NS
VISAKAIND,VISAKAIND.NS
ELECON,ELECON.NS
SEPC,SEPC.NS
BANKINDIA,BANKINDIA.NS
STAR,STAR.NS
SUYOG,SUYOG.NS
BANG,BANG.NS
APOLLOHOSP,APOLLOHOSP.NS
RAJRATAN,RAJRATAN.NS
BEL,BEL.NS
TATATECH,TATATECH.NS
POLYMED,POLYMED.NS
SWARAJENG,SWARAJENG.NS
SHREDIGCEM,SHREDIGCEM.NS
ZAGGLE,ZAGGLE.NS
CHEMFAB,CHEMFAB.NS
GRAVITA,GRAVITA.NS
MAXHEALTH,MAXHEALTH.NS
INDSWFTLAB,INDSWFTLAB.NS
FLUOROCHEM,FLUOROCHEM.NS
FLFL,FLFL.NS
GPTHEALTH,GPTHEALTH.NS
HEIDELBERG,HEIDELBERG.NS
LAWSIKHO,LAWSIKHO.NS
ANURAS,ANURAS.NS
GODIGIT,GODIGIT.NS
CRISIL,CRISIL.NS
TI,TI.NS
ACL,ACL.NS
PIDILITIND,PIDILITIND.NS
CIPLA,CIPLA.NS
BLUEJET,BLUEJET.NS
GOKULAGRO,GOKULAGRO.NS
METROPOLIS,METROPOLIS.NS
PERSISTENT,PERSISTENT.NS
DEVYANI,DEVYANI.NS
RITES,RITES.NS
CAPACITE,CAPACITE.NS
NATCOPHARM,NATCOPHARM.NS
DIAMONDYD,DIAMONDYD.NS
CROMPTON,CROMPTON.NS
ZUARIIND,ZUARIIND.NS
SANOFI,SANOFI.NS
INDRAMEDCO,INDRAMEDCO.NS
TCI,TCI.NS
NELCO,NELCO.NS
KEI,KEI.NS
AWHCL,AWHCL.NS
MURUDCERA,MURUDCERA.NS
LUXIND,LUXIND.NS
ARROWGREEN,ARROWGREEN.NS
FIVESTAR,FIVESTAR.NS
AURUM,AURUM.NS
DBSTOCKBRO,DBSTOCKBRO.NS
ELGIEQUIP,ELGIEQUIP.NS
IRBINVIT,IRBINVIT.NS
ROUTE,ROUTE.NS
NIITLTD,NIITLTD.NS
RAJESHEXPO,RAJESHEXPO.NS
KAYNES,KAYNES.NS
GRINDWELL,GRINDWELL.NS
BHAGYANGR,BHAGYANGR.NS
BEPL,BEPL.NS
GNFC,GNFC.NS
ICICIBANK,ICICIBANK.NS
ASTRAL,ASTRAL.NS
ALLSEC,ALLSEC.NS
ZENSARTECH,ZENSARTECH.NS
NH,NH.NS
DYNAMATECH,DYNAMATECH.NS
GMRP&UI,GMRP&UI.NS
AEROFLEX,AEROFLEX.NS
MARKSANS,MARKSANS.NS
UNIONBANK,UNIONBANK.NS
CESC,CESC.NS
MAWANASUG,MAWANASUG.NS
VADILALIND,VADILALIND.NS
PNBHOUSING,PNBHOUSING.NS
DHANUKA,DHANUKA.NS
EMIL,EMIL.NS
STARCEMENT,STARCEMENT.NS
SUPRIYA,SUPRIYA.NS
SANGHVIMOV,SANGHVIMOV.NS
DHANI,DHANI.NS
GEOJITFSL,GEOJITFSL.NS
SUULD,SUULD.NS
USK,USK.NS
HINDALCO,HINDALCO.NS
ONWARDTEC,ONWARDTEC.NS
PTL,PTL.NS
GICRE,GICRE.NS
SGIL,SGIL.NS
JAYSREETEA,JAYSREETEA.NS
RAMRAT,RAMRAT.NS
MUTHOOTMF,MUTHOOTMF.NS
LUPIN,LUPIN.NS
RKFORGE,RKFORGE.NS
BAJAJFINSV,BAJAJFINSV.NS
HMAAGRO,HMAAGRO.NS
SREEL,SREEL.NS
TATASTEEL,TATASTEEL.NS
RADIANTCMS,RADIANTCMS.NS
SUPRAJIT,SUPRAJIT.NS
AKUMS,AKUMS.NS
TATVA,TATVA.NS
NUVAMA,NUVAMA.NS
HUBTOWN,HUBTOWN.NS
DEEDEV,DEEDEV.NS
DEVIT,DEVIT.NS
CREDITACC,CREDITACC.NS
AMBER,AMBER.NS
PATINTLOG,PATINTLOG.NS
CUBEXTUB,CUBEXTUB.NS
20MICRONS,20MICRONS.NS
AUROPHARMA,AUROPHARMA.NS
BARBEQUE,BARBEQUE.NS
UNITDSPR,UNITDSPR.NS
GHCLTEXTIL,GHCLTEXTIL.NS
HLEGLAS,HLEGLAS.NS
GUJALKALI,GUJALKALI.NS
SCHAEFFLER,SCHAEFFLER.NS
KRBL,KRBL.NS
RUCHIRA,RUCHIRA.NS
SERVOTECH,SERVOTECH.NS
TIDEWATER,TIDEWATER.NS
SDBL,SDBL.NS
EROSMEDIA,EROSMEDIA.NS
PARKHOTELS,PARKHOTELS.NS
KALAMANDIR,KALAMANDIR.NS
FILATEX,FILATEX.NS
KTKBANK,KTKBANK.NS
WANBURY,WANBURY.NS
WELCORP,WELCORP.NS
KSCL,KSCL.NS
WSI,WSI.NS
SOLARA,SOLARA.NS
GRMOVER,GRMOVER.NS
SPANDANA,SPANDANA.NS
LINCOLN,LINCOLN.NS
TIMETECHNO,TIMETECHNO.NS
ASTRAMICRO,ASTRAMICRO.NS
DANGEE,DANGEE.NS
HITECHGEAR,HITECHGEAR.NS
RUCHINFRA,RUCHINFRA.NS
KRSNAA,KRSNAA.NS
BANSALWIRE,BANSALWIRE.NS
RICOAUTO,RICOAUTO.NS
EMAMILTD,EMAMILTD.NS
LXCHEM,LXCHEM.NS
INDOAMIN,INDOAMIN.NS
FORCEMOT,FORCEMOT.NS
SHRIRAMPPS,SHRIRAMPPS.NS
JIOFIN,JIOFIN.NS
PVRINOX,PVRINOX.NS
TIRUMALCHM,TIRUMALCHM.NS
MUKTAARTS,MUKTAARTS.NS
IPL,IPL.NS
LAOPALA,LAOPALA.NS
ASIANPAINT,ASIANPAINT.NS
ANDHRSUGAR,ANDHRSUGAR.NS
IPCALAB,IPCALAB.NS
TIINDIA,TIINDIA.NS
CUMMINSIND,CUMMINSIND.NS
SSEGL,SSEGL.NS
SAREGAMA,SAREGAMA.NS
JINDALPOLY,JINDALPOLY.NS
SUTLEJTEX,SUTLEJTEX.NS
TIIL,TIIL.NS
GAEL,GAEL.NS
WABAG,WABAG.NS
NEWGEN,NEWGEN.NS
UDS,UDS.NS
CIGNITITEC,CIGNITITEC.NS
COLPAL,COLPAL.NS
IRCTC,IRCTC.NS
